cancel ['kænsl]
anyone ['eniwʌn]
convince [kən'vɪns]
pride [praɪd]
emperor ['empərə(r)]
word [wɜːd]
theory ['θɪəri]
broadcast ['brɔːdkɑːst]
love [lʌv]
extension [ɪk'stenʃn]
signature ['sɪɡnətʃə(r)]
steep 
seize [siːz]
literary ['lɪtərəri]
architect ['ɑːkɪtekt]
forehead ['fɔːhed]
enjoy [ɪn'dʒɔɪ]
privilege ['prɪvəlɪdʒ]
fireworks ['faɪəwɜːks]
substitute ['sʌbstɪtjuːt]
foreign ['fɒrən]
across [ə'krɒs]
uniform ['juːnɪfɔːm]
fall [fɔːl]
identity [aɪ'dentəti]
violate ['vaɪəleɪt]
federal ['fedərəl]
event [ɪ'vent]
academy [ə'kædəmi]
wherever [weər'evə(r)]
reward [rɪ'wɔːd]
include [ɪn'kluːd]
alongside [əˌlɒŋ'saɪd]
swallow ['swɒləʊ]
agency ['eɪdʒənsi]
abstract 
agenda [ə'dʒendə]
opinion [ə'pɪnjən]
altogether [ˌɔːltə'ɡeðə(r)]
appearance [ə'pɪərəns]
culture ['kʌltʃə(r)]
devotion [dɪ'vəʊʃn]
prefer [prɪ'fɜː(r)]
perfect ['pɜːfɪkt]
butcher ['bʊtʃə(r)]
float [fləʊt]
pole [pəʊl]
minority [maɪ'nɒrəti]
tight [taɪt]
space [speɪs]
reference ['refrəns]
arrange [ə'reɪndʒ]
from [frəm]
alley ['æli]
discover [dɪ'skʌvə(r)]
bench [bentʃ]
commitment [kə'mɪtmənt]
excite [ɪk'saɪt]
rhyme [raɪm]
spade [speɪd]
revision [rɪ'vɪʒn]
qualification [ˌkwɒlɪfɪ'keɪʃn]
collision [kə'lɪʒn]
bridegroom ['braɪdɡruːm]
repair [rɪ'peə(r)]
advice [əd'vaɪs]
frequent ['friːkwənt]
insure [ɪn'ʃʊə(r)]
elder ['eldə(r)]
error ['erə(r)]
windy ['wɪndi]
Oceania [ˌəʊsi'ɑːniə]
public ['pʌblɪk]
spend [spend]
barbershop ['bɑːbəʃɒp]
track [træk]
value ['væljuː]
foggy ['fɒɡi]
quantity ['kwɒntəti]
fortune ['fɔːtʃuːn]
advantage [əd'vɑːntɪdʒ]
instead [ɪn'sted]
rush [rʌʃ]
command [kə'mɑːnd]
expensive [ɪk'spensɪv]
cloudy ['klaʊdi]
compulsory [kəm'pʌlsəri]
trade [treɪd]
dessert [dɪ'zɜːt]
round [raʊnd]
ambassador [æm'bæsədə(r)]
non-stop [nɒn stɒp]
temple ['templ]
growth [ɡrəʊθ]
vague [veɪɡ]
communist ['kɒmjənɪst]
fare [feə(r)]
temporary ['temprəri]
desperate ['despərət]
unrest [ʌn'rest]
kangaroo [ˌkæŋɡə'ruː]
accuracy ['ækjərəsi]
awful ['ɔːfl]
handy ['hændi]
urge [ɜːdʒ]
via ['vaɪə]
score [skɔː(r)]
poor [pʊə(r)]
graduate ['ɡrædʒuət]
visual ['vɪʒuəl]
absent ['æbsənt]
rag [ræɡ]
because [bɪ'kɒz]
near [nɪə(r)]
educate ['edʒukeɪt]
ashamed [ə'ʃeɪmd]
appendix [ə'pendɪks]
instruct [ɪn'strʌkt]
excellent ['eksələnt]
fairly ['feəli]
handwriting ['hændraɪtɪŋ]
raw [rɔː]
merchant ['mɜːtʃənt]
retell [ˌriː'tel]
ray [reɪ]
version ['vɜːʃn]
exam [ɪɡ'zæm]
stop [stɒp]
nationality [ˌnæʃə'næləti]
guess [ɡes]
adolescence [ˌædə'lesns]
aboard [ə'bɔːd]
institute ['ɪnstɪtjuːt]
poster ['pəʊstə(r)]
shortly ['ʃɔːtli]
appropriate [ə'prəʊpriət ]
criterion [kraɪ'tɪəriən]
least [liːst]
immediately [ɪ'miːdiətli]
symphony ['sɪmfəni]
optimistic [ˌɒptɪ'mɪstɪk]
sleep [sliːp]
vocabulary [və'kæbjələri]
refuse [rɪ'fjuːz]
aspect ['æspekt]
aggressive [ə'ɡresɪv]
close [kləʊs]
sweep [swiːp]
website ['websaɪt]
learn [lɜːn]
swing [swɪŋ]
ridiculous [rɪ'dɪkjələs]
severe [sɪ'vɪə(r)]
spin [spɪn]
grocery ['ɡrəʊsəri]
communism ['kɒmjunɪzəm]
spit [spɪt]
anniversary [ˌænɪ'vɜːsəri]
register ['redʒɪstə(r)]
couple ['kʌpl]
communicate 
eager ['iːɡə(r)]
evidence ['evɪdəns]
republic [rɪ'pʌblɪk]
official [ə'fɪʃl]
acid ['æsɪd]
assessment [ə'sesmənt]
post [pəʊst]
agricultural [ˌæɡrɪ'kʌltʃərəl]
leave [liːv]
duck [dʌk]
cottage 
tiresome ['taɪəsəm]
finish ['fɪnɪʃ]
discrimination [dɪˌskrɪmɪ'neɪʃn]
female ['fiːmeɪl]
melon ['melən]
swift [swɪft]
add [æd]
minister ['mɪnɪstə(r)]
need [niːd]
cruel ['kruːəl]
erupt [ɪ'rʌpt]
shade [ʃeɪd]
often ['ɒfn]
gather ['ɡæðə(r)]
insist [ɪn'sɪst]
article ['ɑːtɪkl]
respect [rɪ'spekt]
ache [eɪk]
loose [luːs]
therefore ['ðeəfɔː(r)]
exchange [ɪks'tʃeɪndʒ]
adjustment [ə'dʒʌstmənt]
hesitate ['hezɪteɪt]
hardly ['hɑːdli]
bored [bɔːd]
trust [trʌst]
income ['ɪnkʌm]
private ['praɪvət]
technical ['teknɪkl]
companion [kəm'pæniən]
choose [tʃuːz]
directory [də'rektəri]
peaceful ['piːsfl]
prevent [prɪ'vent]
behave [bɪ'heɪv]
accomplish [ə'kʌmplɪʃ]
disturbing [dɪ'stɜːbɪŋ]
engine ['endʒɪn]
photographer [fə'tɒɡrəfə(r)]
end [end]
mistake [mɪ'steɪk]
pour [pɔː(r)]
message ['mesɪdʒ]
praise [preɪz]
significance [sɪɡ'nɪfɪkəns]
special ['speʃl]
scissors ['sɪzəz]
environment [ɪn'vaɪrənmənt]
truth [truːθ]
clone [kləʊn]
betray [bɪ'treɪ]
pronounce [prə'naʊns]
family ['fæməli]
swear [sweə(r)]
gift [ɡɪft]
atmosphere ['ætməsfɪə(r)]
decorate ['dekəreɪt]
education [ˌedʒu'keɪʃn]
occupation [ˌɒkju'peɪʃn]
tendency ['tendənsi]
slim [slɪm]
arithmetic [ə'rɪθmətɪk]
caption ['kæpʃn]
rid [rɪd]
moral ['mɒrəl]
number ['nʌmbə(r)]
explode [ɪk'spləʊd]
greengrocer ['ɡriːnɡrəʊsə(r)]
punish ['pʌnɪʃ]
casual ['kæʒuəl]
decline [dɪ'klaɪn]
narrow ['nærəʊ]
judge [dʒʌdʒ]
similar ['sɪmələ(r)]
contradict [ˌkɒntrə'dɪkt]
Catholic ['kæθlɪk]
shape [ʃeɪp]
nothing ['nʌθɪŋ]
headmistress ['hed'mɪstrɪs]
anyhow ['enihaʊ]
whistle ['wɪsl]
handle ['hændl]
chain stores 
crossing ['krɒsɪŋ]
tough [tʌf]
exit ['eksɪt]
system ['sɪstəm]
giraffe [dʒə'rɑːf]
spot [spɒt]
aid [eɪd]
other ['ʌðə(r)]
aim [eɪm]
against [ə'ɡenst]
confident ['kɒnfɪdənt]
cell [sel]
swell [swel]
courage ['kʌrɪdʒ]
local ['ləʊkl]
remind [rɪ'maɪnd]
crew [kruː]
valid ['vælɪd]
defeat [dɪ'fiːt]
spear [spɪə(r)]
encourage [ɪn'kʌrɪdʒ]
electronic [ɪˌlek'trɒnɪk]
vacation [və'keɪʃn]
speak [spiːk]
share [ʃeə(r)]
bureaucratic [ˌbjʊərə'krætɪk]
sacred ['seɪkrɪd]
elegant ['elɪɡənt]
outcome ['aʊtkʌm]
curriculum [kə'rɪkjələm]
satisfaction [ˌsætɪs'fækʃn]
sharp [ʃɑːp]
powerful ['paʊəfl]
slip [slɪp]
future ['fjuːtʃə(r)]
anchor ['æŋkə(r)]
acquaintance [ə'kweɪntəns]
novelist ['nɒvəlɪst]
royal ['rɔɪəl]
shake [ʃeɪk]
eyesight ['aɪsaɪt]
semicircle ['semisɜːkl]
screen [skriːn]
autonomous [ɔː'tɒnəməs]
referee [ˌrefə'riː]
trial ['traɪəl]
correspond [ˌkɒrə'spɒnd]
undertake [ˌʌndə'teɪk]
insect ['ɪnsekt]
buffet ['bʊfeɪ]
entrance ['entrəns]
pregnant ['preɡnənt]
all [ɔːl]
always ['ɔːlweɪz]
border ['bɔːdə(r)]
below [bɪ'ləʊ]
already [ɔːl'redi]
touch [tʌtʃ]
shall [ʃəl]
admission [əd'mɪʃn]
real [rɪəl]
expense [ɪk'spens]
unit ['juːnɪt]
yell [jel]
contemporary [kən'temprəri]
collect [kə'lekt]
dusty ['dʌsti]
amusement [ə'mjuːzmənt]
boundary ['baʊndri]
shame [ʃeɪm]
rob [rɒb]
outing ['aʊtɪŋ]
trick [trɪk]
favour ['feɪvə(r)]
around [ə'raʊnd]
pollute [pə'luːt]
disappoint [ˌdɪsə'pɔɪnt]
rot [rɒt]
construction [kən'strʌkʃn]
predict [prɪ'dɪkt]
row [rəʊ]
universal [ˌjuːnɪ'vɜːsl]
abroad [ə'brɔːd]
frontier ['frʌntɪə(r)]
subjective [səb'dʒektɪv]
deliberately [dɪ'lɪbərətli]
seaweed ['siːwiːd]
drawer [drɔː(r)]
transport ['trænspɔːt]
specific [spə'sɪfɪk]
any ['eni]
application [ˌæplɪ'keɪʃn]
freezing ['friːzɪŋ]
punctuation [ˌpʌŋktʃu'eɪʃn]
acre ['eɪkə(r)]
whisper ['wɪspə(r)]
appetite ['æpɪtaɪt]
until [ən'tɪl]
dull [dʌl]
clumsy ['klʌmzi]
reason ['riːzn]
thought [θɔːt]
accurate ['ækjərət]
ring [rɪŋ]
taste [teɪst]
anywhere ['eniweə(r)]
bargain ['bɑːgɪn]
identification [aɪˌdentɪfɪ'keɪʃn]
jam [dʒæm]
annual ['ænjuəl]
gentle ['dʒentl]
cheers [tʃɪəz]
boil [bɔɪl]
sneaker ['sniːkə(r)]
lightning ['laɪtnɪŋ]
remain [rɪ'meɪn]
shabby ['ʃæbi]
amaze [ə'meɪz]
demand [dɪ'mɑːnd]
envelope ['envələʊp]
slow [sləʊ]
turkey ['tɜːki]
grade [ɡreɪd]
deposit [dɪ'pɒzɪt]
tasty ['teɪsti]
telescope ['telɪskəʊp]
flash [flæʃ]
skillful ['skɪlfʊl]
continent ['kɒntɪnənt]
accuse [ə'kjuːz]
maybe ['meɪbi]
another [ə'nʌðə(r)]
guarantee 
algebra ['ældʒɪbrə]
recommend [ˌrekə'mend]
acquire [ə'kwaɪə(r)]
worth [wɜːθ]
helicopter ['helɪkɒptə(r)]
ripe [raɪp]
where [weə(r)]
disabled [dɪs'eɪbld]
watermelon ['wɔːtəmelən]
arm [ɑːm]
popular ['pɒpjələ(r)]
broken ['brəʊkən]
outwards ['aʊtwədz]
vice [vaɪs]
poison ['pɔɪzn]
silly ['sɪli]
liberation [ˌlɪbə'reɪʃn]
fortunate ['fɔːtʃənət]
wrinkle ['rɪŋkl]
tour [tʊə(r)]
persuade [pə'sweɪd]
call [kɔːl]
consensus [kən'sensəs]
such [sʌtʃ]
calm [kɑːm]
boring ['bɔːrɪŋ]
classic ['klæsɪk]
kick [kɪk]
absolute ['æbsəluːt]
ask [ɑːsk]
canteen [kæn'tiːn]
describe [dɪ'skraɪb]
suck [sʌk]
dilemma [dɪ'lemə]
wealthy ['welθi]
strength [streŋθ]
dusk [dʌsk]
administration [ədˌmɪnɪ'streɪʃn]
run [rʌn]
challenging ['tʃælɪndʒɪŋ]
research [rɪ'sɜːtʃ]
debate [dɪ'beɪt]
view [vjuː]
either ['aɪðə(r)]
furniture ['fɜːnɪtʃə(r)]
jet [dʒet]
donate [dəʊ'neɪt]
helpful ['helpfl]
dust [dʌst]
worry ['wʌri]
cater ['keɪtə(r)]
imagine [ɪ'mædʒɪn]
attractive [ə'træktɪv]
superb [suː'pɜːb]
might [maɪt]
bleed [bliːd]
catalogue ['kætəlɒɡ]
whatever [wɒt'evə(r)]
decrease [dɪ'kriːs]
camp [kæmp]
difficulty ['dɪfɪkəlti]
volunteer [ˌvɒlən'tɪə(r)]
everywhere ['evriweə(r)]
clothing ['kləʊðɪŋ]
aloud [ə'laʊd]
thunderstorm ['θʌndəstɔːm]
mourn [mɔːn]
next [nekst]
blind [blaɪnd]
nod [nɒd]
string [strɪŋ]
import ['ɪmpɔːt]
distance ['dɪstəns]
occupy ['ɒkjupaɪ]
submit [səb'mɪt]
boom [buːm]
abolish [ə'bɒlɪʃ]
absence ['æbsəns]
nearly ['nɪəli]
attract [ə'trækt]
show [ʃəʊ]
edition [ɪ'dɪʃn]
cautious ['kɔːʃəs]
disappear [ˌdɪsə'pɪə(r)]
perfume ['pɜːfjuːm]
shot [ʃɒt]
conclusion [kən'kluːʒn]
nor [nɔː(r)]
central ['sentrəl]
defend [dɪ'fend]
arrive [ə'raɪv]
memorial [mə'mɔːriəl]
wag [wæɡ]
race [reɪs]
introduce [ˌɪntrə'djuːs]
greet [ɡriːt]
sculpture ['skʌlptʃə(r)]
bond [bɒnd]
way [weɪ]
target ['tɑːɡɪt]
wax [wæks]
grey [ɡreɪ]
what [wɒt]
urban ['ɜːbən]
guidance ['ɡaɪdns]
refer [rɪ'fɜː(r)]
nervous ['nɜːvəs]
duty ['djuːti]
risk [rɪsk]
flame [fleɪm]
rise [raɪz]
play [pleɪ]
delicate ['delɪkət]
fancy ['fænsi]
bounce [baʊns]
tissue ['tɪʃuː]
decide [dɪ'saɪd]
rent [rent]
when [wen]
nearby [ˌnɪə'baɪ]
carpenter ['kɑːpəntə(r)]
modest ['mɒdɪst]
cast [kɑːst]
anxious ['æŋkʃəs]
fan [fæn]
slice [slaɪs]
far [fɑː(r)]
frost [frɒst]
catch [kætʃ]
fax [fæks]
plan [plæn]
cash [kæʃ]
case [keɪs]
generation [ˌdʒenə'reɪʃn]
give [ɡɪv]
double ['dʌbl]
downtown [daʊn'taʊn]
trunk [trʌŋk]
stainless ['steɪnlɪs]
explicit [ɪk'splɪsɪt]
rely [rɪ'laɪ]
phone [fəʊn]
slide [slaɪd]
comfortable ['kʌmftəbl]
waist [weɪst]
style [staɪl]
jungle ['dʒʌŋɡl]
flesh [fleʃ]
suit [suːt]
grill [ɡrɪl]
care [keə(r)]
damage ['dæmɪdʒ]
guard [ɡɑːd]
settle ['setl]
direct [də'rekt]
pattern ['pætn]
exercise ['eksəsaɪz]
labour ['leɪbə(r)]
gain [ɡeɪn]
vehicle ['viːɪkl]
hardship ['hɑːdʃɪp]
confuse [kən'fjuːz]
kilo ['kiːləʊ]
freedom ['friːdəm]
cushion ['kʊʃn]
scold [skəʊld]
modern ['mɒdn]
physics ['fɪzɪks]
seldom ['seldəm]
physician [fɪ'zɪʃn]
protect [prə'tekt]
architecture ['ɑːkɪtektʃə(r)]
souvenir [ˌsuːvə'nɪə(r)]
dial ['daɪəl]
stress [stres]
explore [ɪk'splɔː(r)]
more [mɔː(r)]
wet [wet]
born [bɔːn]
strawberry ['strɔːbəri]
electricity [ɪˌlek'trɪsəti]
tentative ['tentətɪv]
climate ['klaɪmət]
kill [kɪl]
conductor [kən'dʌktə(r)]
porridge ['pɒrɪdʒ]
pleased [pliːzd]
certain ['sɜːtn]
woolen ['wʊlɪn]
board [bɔːd]
statistics [stə'tɪstɪks]
shut [ʃʌt]
arrest [ə'rest]
distinction [dɪ'stɪŋkʃn]
widow ['wɪdəʊ]
mature [mə'tʃʊə(r)]
navy ['neɪvi]
disability [ˌdɪsə'bɪləti]
fee [fiː]
section ['sekʃn]
simple ['sɪmpl]
used [juːst]
influence ['ɪnfluəns]
mustard ['mʌstəd]
percentage [pə'sentɪdʒ]
talent ['tælənt]
few [fjuː]
otherwise ['ʌðəwaɪz]
negotiate [nɪ'ɡəʊʃieɪt]
hunt [hʌnt]
package ['pækɪdʒ]
pronunciation [prəˌnʌnsi'eɪʃn]
kind [kaɪnd]
survival [sə'vaɪvl]
strait [streɪt]
both [bəʊθ]
voyage ['vɔɪɪdʒ]
important [ɪm'pɔːtnt]
nutrition [nju'trɪʃn]
detective [dɪ'tektɪv]
phrase [freɪz]
personally ['pɜːsənəli]
outside [ˌaʊt'saɪd]
passer-by ['pɑːsə baɪ]
keep [kiːp]
effect [ɪ'fekt]
affection [ə'fekʃn]
yoghurt ['jəʊgɜːt]
skate [skeɪt]
correction [kə'rekʃn]
embarrass [ɪm'bærəs]
who [huː]
weigh [weɪ]
sponsor ['spɒnsə(r)]
acute [ə'kjuːt]
kindergarten ['kɪndəɡɑːtn]
jog [dʒɒɡ]
terrify ['terɪfaɪ]
contribute [kən'trɪbjuːt]
faith [feɪθ]
insert [ɪn'sɜːt]
why [waɪ]
remark [rɪ'mɑːk]
forbid [fə'bɪd]
microscope ['maɪkrəskəʊp]
tortoise ['tɔːtəs]
candidate ['kændɪdət]
alone [ə'ləʊn]
database ['deɪtəbeɪs]
parallel ['pærəlel]
patient ['peɪʃnt]
reject ['riːdʒekt]
dialogue ['daɪəlɒɡ]
diet ['daɪət]
profit ['prɒfɪt]
win [wɪn]
rest [rest]
move [muːv]
amount [ə'maʊnt]
handful ['hændfʊl]
album ['ælbəm]
electric [ɪ'lektrɪk]
yawn [jɔːn]
say [seɪ]
also ['ɔːlsəʊ]
terminal ['tɜːmɪnl]
enough [ɪ'nʌf]
increase [ɪn'kriːs]
differ ['dɪfə(r)]
shine [ʃaɪn]
spread [spred]
various ['veəriəs]
attention [ə'tenʃn]
latter ['lætə(r)]
front [frʌnt]
visit ['vɪzɪt]
clinic ['klɪnɪk]
customer ['kʌstəmə(r)]
stupid ['stjuːpɪd]
greeting ['ɡriːtɪŋ]
bring [brɪŋ]
beddings 
awake [ə'weɪk]
kiss [kɪs]
ban [bæn]
hamburger ['hæmbɜːɡə(r)]
fond [fɒnd]
fit [fɪt]
offer ['ɒfə(r)]
robot ['rəʊbɒt]
bar [bɑː(r)]
suffer ['sʌfə(r)]
fix [fɪks]
neighbourhood ['neɪbəhʊd]
complex ['kɒmpleks]
draft [drɑːft]
honest ['ɒnɪst]
pension ['penʃn]
assumption [ə'sʌmpʃn]
rank [ræŋk]
rubbish ['rʌbɪʃ]
addition [ə'dɪʃn]
afterwards ['ɑːftəwədz]
sure [ʃʊə(r)]
grow [ɡrəʊ]
carve [kɑːv]
shrink [ʃrɪŋk]
ancestor ['ænsestə(r)]
league [liːɡ]
personal ['pɜːsənl]
angry ['æŋɡri]
former ['fɔːmə(r)]
panic ['pænɪk]
fold [fəʊld]
stewardess [ˌstjuːə'des]
as [əz]
delay [dɪ'leɪ]
at [ət]
chemical ['kemɪkl]
turning ['tɜːnɪŋ]
peace [piːs]
plant [plɑːnt]
folk [fəʊk]
enquiry [ɪn'kwaɪəri]
drive [draɪv]
hurt [hɜːt]
deal [diːl]
abuse [ə'bjuːs]
prove [pruːv]
homeland ['həʊmlænd]
affect [ə'fekt]
deaf [def]
admire [əd'maɪə(r)]
virus ['vaɪrəs]
amuse [ə'mjuːz]
see [siː]
search [sɜːtʃ]
furnished ['fɜːnɪʃt]
responsibility [rɪˌspɒnsə'bɪləti]
sudden ['sʌdn]
fool [fuːl]
civil ['sɪvl]
by [baɪ]
whom [huːm]
indicate ['ɪndɪkeɪt]
set [set]
charge [tʃɑːdʒ]
contain [kən'teɪn]
outstanding [aʊt'stændɪŋ]
litter 
oval ['əʊvl]
procedure [prə'siːdʒə(r)]
familiar [fə'mɪliə(r)]
biography [baɪ'ɒɡrəfi]
breathe [briːð]
applicant ['æplɪkənt]
battle ['bætl]
awesome ['ɔːsəm]
partner ['pɑːtnə(r)]
gifted ['ɡɪftɪd]
visa ['viːzə]
zipper ['zɪpə(r)]
Arctic ['ɑːktɪk]
unfit [ʌn'fɪt]
interview ['ɪntəvjuː]
clarify ['klærəfaɪ]
beauty ['bjuːti]
beg [beɡ]
scare [skeə(r)]
do 
observe [əb'zɜːv]
humorous ['hjuːmərəs]
garment ['ɡɑːmənt]
rare [reə(r)]
useless ['juːsləs]
which [wɪtʃ]
disadvantage [ˌdɪsəd'vɑːntɪdʒ]
garbage ['ɡɑːbɪdʒ]
mainland ['meɪnlænd]
downstairs [ˌdaʊn'steəz]
marble ['mɑːbl]
never ['nevə(r)]
anxiety [æŋ'zaɪəti]
piece [piːs]
adjust [ə'dʒʌst]
carry ['kæri]
burst [bɜːst]
western ['westən]
debt [det]
little ['lɪtl]
however [haʊ'evə(r)]
deep [diːp]
goose [ɡuːs]
forgive [fə'ɡɪv]
origin ['ɒrɪdʒɪn]
for [fə(r)]
mistaken [mɪ'steɪkən]
content ['kɒntent]
deed [diːd]
burden ['bɜːdn]
salute [sə'luːt]
random ['rændəm]
perhaps [pə'hæps]
plot [plɒt]
rate [reɪt]
skill [skɪl]
trouble ['trʌbl]
unfair [ˌʌn'feə(r)]
divide [dɪ'vaɪd]
contrary ['kɒntrəri]
sit [sɪt]
digital ['dɪdʒɪtl]
over ['əʊvə(r)]
brilliant ['brɪljənt]
practical ['præktɪkl]
pesticide ['pestɪsaɪd]
bound [baʊnd]
false [fɔːls]
go [ɡəʊ]
tease [tiːz]
fork [fɔːk]
form [fɔːm]
publish ['pʌblɪʃ]
pyramid ['pɪrəmɪd]
cheque [tʃek]
avoid [ə'vɔɪd]
bid [bɪd]
fresh [freʃ]
astonish [ə'stɒnɪʃ]
withdraw [wɪð'drɔː]
straightforward [ˌstreɪt'fɔːwəd]
very ['veri]
decade ['dekeɪd]
expert ['ekspɜːt]
practice ['præktɪs]
select [sɪ'lekt]
crowd [kraʊd]
sick [sɪk]
bit [bɪt]
welfare ['welfeə(r)]
output ['aʊtpʊt]
corner ['kɔːnə(r)]
else [els]
modem ['məʊdem]
majority [mə'dʒɒrəti]
beside [bɪ'saɪd]
join [dʒɔɪn]
drag [dræɡ]
reduce [rɪ'djuːs]
likely ['laɪkli]
large [lɑːdʒ]
bakery ['beɪkəri]
vain [veɪn]
ordinary ['ɔːdnri]
fry [fraɪ]
somebody ['sʌmbədi]
drink [drɪŋk]
announce [ə'naʊns]
traditional [trə'dɪʃənl]
lively ['laɪvli]
operate ['ɒpəreɪt]
begin [bɪ'ɡɪn]
become [bɪ'kʌm]
bacterium [bæk'tɪəriəm]
paragraph ['pærəɡrɑːf]
oilfield ['ɔɪlfiːld]
alive [ə'laɪv]
eventually [ɪ'ventʃuəli]
neighbour ['neɪbə(r)]
tournament ['tʊənəmənt]
cycle ['saɪkl]
thinking ['θɪŋkɪŋ]
literature ['lɪtrətʃə(r)]
astronomer [ə'strɒnəmə(r)]
prejudice ['predʒudɪs]
digest ['dɑɪdʒɛst]
angle ['æŋɡl]
tradition [trə'dɪʃn]
ability [ə'bɪləti]
everything ['evriθɪŋ]
unbearable [ʌn'beərəbl]
urgent ['ɜːdʒənt]
programme ['prəʊɡræm]
belief [bɪ'liːf]
delight [dɪ'laɪt]
immigration [ˌɪmɪ'ɡreɪʃn]
break [breɪk]
chain store 
vest [vest]
change [tʃeɪndʒ]
suggestion [sə'dʒestʃən]
fluency ['fluːənsi]
draw [drɔː]
systematic [ˌsɪstə'mætɪk]
trolleybus ['trɒlibʌs]
lantern ['læntən]
cupboard ['kʌbəd]
off [ɒf]
comfort ['kʌmfət]
joke [dʒəʊk]
knee [niː]
punishment ['pʌnɪʃmənt]
hide [haɪd]
troublesome ['trʌblsəm]
instruction [ɪn'strʌkʃn]
report [rɪ'pɔːt]
oral ['ɔːrəl]
complete [kəm'pliːt]
compensate ['kɒmpenseɪt]
fun [fʌn]
constant ['kɒnstənt]
smog [smɒɡ]
sob [sɒb]
political [pə'lɪtɪkl]
while [waɪl]
anger ['æŋɡə(r)]
second ['sekənd]
that [ðæt]
edge [edʒ]
download ['daʊnləʊd]
split [splɪt]
than [ðən]
limit ['lɪmɪt]
widespread ['waɪdspred]
antique [æn'tiːk]
sow [saʊ]
different ['dɪfrənt]
fasten ['fɑːsn]
porter ['pɔːtə(r)]
level ['levl]
dirt [dɜːt]
videophone ['vɪdiəʊfəʊn]
preserve [prɪ'zɜːv]
plus [plʌs]
relevant ['reləvənt]
license ['laɪsns]
entry ['entri]
expand [ɪk'spænd]
dream [driːm]
noble ['nəʊbl]
plug [plʌɡ]
bunch [bʌntʃ]
spy [spaɪ]
postpone [pə'spəʊn]
tense [tens]
bride [braɪd]
heat [hiːt]
behind [bɪ'haɪnd]
hammer ['hæmə(r)]
seal [siːl]
recipe ['resəpi]
ambassadress [æm'bæsədres]
mental ['mentl]
bow [baʊ]
storage ['stɔːrɪdʒ]
racial ['reɪʃl]
switch [swɪtʃ]
total ['təʊtl]
of [əv]
reserve [rɪ'zɜːv]
somehow ['sʌmhaʊ]
brick [brɪk]
dive [daɪv]
heap [hiːp]
sympathy ['sɪmpəθi]
hear [hɪə(r)]
fight [faɪt]
roundabout ['raʊndəbaʊt]
rescue ['reskjuː]
facial ['feɪʃl]
on [ɒn]
zebra ['zebrə]
brief [briːf]
unfortunate [ʌn'fɔːtʃənət]
recover [rɪ'kʌvə(r)]
or [ɔː(r)]
chance [tʃɑːns]
determine [dɪ'tɜːmɪn]
nature ['neɪtʃə(r)]
social ['səʊʃl]
wheel [wiːl]
interesting ['ɪntrəstɪŋ]
cross [krɒs]
control [kən'trəʊl]
drill [drɪl]
friction ['frɪkʃn]
clerk [klɑːk]
walnut ['wɔːlnʌt]
acknowledge [ək'nɒlɪdʒ]
equip [ɪ'kwɪp]
radiation [ˌreɪdi'eɪʃn]
quarrel ['kwɒrəl]
Christian ['krɪstʃən]
pulse [pʌls]
maple ['meɪpl]
spiritual ['spɪrɪtʃuəl]
worthwhile [ˌwɜːθ'waɪl]
nation ['neɪʃn]
upper ['ʌpə(r)]
splendid ['splendɪd]
adaptation [ˌædæp'teɪʃn]
behalf [bɪ'hɑːf]
somewhere ['sʌmweə(r)]
scene [siːn]
injure ['ɪndʒə(r)]
freeze [friːz]
eastward ['iːstwəd]
geography [dʒi'ɒɡrəfi]
horrible ['hɒrəbl]
strengthen ['streŋθn]
injury ['ɪndʒəri]
diploma [dɪ'pləʊmə]
brand [brænd]
suspension [sə'spenʃn]
choke [tʃəʊk]
alcohol ['ælkəhɒl]
pleasure ['pleʒə(r)]
old [əʊld]
recreation [ˌrekri'eɪʃn]
allowance [ə'laʊəns]
interpreter [ɪn'tɜːprɪtə(r)]
hurricane ['hʌrɪkən]
portable ['pɔːtəbl]
then [ðen]
ancient ['eɪnʃənt]
accept [ək'sept]
glory ['ɡlɔːri]
seat [siːt]
wander ['wɒndə(r)]
adopt [ə'dɒpt]
oppose [ə'pəʊz]
minus ['maɪnəs]
belly ['beli]
conservative [kən'sɜːvətɪv]
access ['ækses]
conference ['kɒnfərəns]
primitive ['prɪmətɪv]
activity [æk'tɪvɪtɪ]
dormitory ['dɔːmətri]
overcome [ˌəʊvə'kʌm]
recite [rɪ'saɪt]
seek [siːk]
seem [siːm]
heel [hiːl]
variety [və'raɪəti]
disturb [dɪ'stɜːb]
adore [ə'dɔː(r)]
lecture ['lektʃə(r)]
civilian [sɪ'vɪljən]
so [səʊ]
pump [pʌmp]
caution ['kɔːʃn]
key [kiː]
teenager ['tiːneɪdʒə(r)]
dumpling ['dʌmplɪŋ]
silent ['saɪlənt]
decision [dɪ'sɪʒn]
addicted [ə'dɪktɪd]
necessary ['nesəsəri]
one 
garage ['ɡærɑːʒ]
badminton ['bædmɪntən]
confirm [kən'fɜːm]
single ['sɪŋɡl]
pull [pʊl]
unconditional [ˌʌnkən'dɪʃənl]
gallon ['ɡælən]
appoint [ə'pɔɪnt]
assist [ə'sɪst]
bun [bʌn]
but [bət]
symbol ['sɪmbl]
sincerely [sɪn'sɪəli]
commercial [kə'mɜːʃl]
separate ['sepərət]
declare [dɪ'kleə(r)]
reasonable ['riːznəbl]
dislike [dɪs'laɪk]
